customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5365,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,2504,0
3953,1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1465,0
2558,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,156,1
5524,1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1399,0
6500,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,924,1
6540,0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,6103,1
1001,1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1549,0
4760,0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,2608,0
5593,0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,2645,1
4524,1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3021,0
6860,1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,4822,0
5278,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,2835,0
5740,1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,4692,0
174,1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,4264,1
3606,1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,2336,0
2550,0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,5958,0
5809,0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,45,0
7008,1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,5703,0
2930,0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,4415,1
2921,0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1432,0
6196,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,3339,1
1140,1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,1650,0
723,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,1608,1
2535,0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.9,3040,0
4469,1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,59.6,2566,0
4863,0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.3,958,0
4574,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4018,1
6108,1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,2591,1
3724,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,5134,0
6188,0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,183,1
2694,0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,96.35,5353,0
3472,1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,1359,0
4834,0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,66.15,1448,0
5184,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,1609,0
2378,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,3814,0
4413,0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,5643,0
4282,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,2741,1
4646,0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,3072,0
3819,1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3073,1
5792,0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,201,1
6252,1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,49.55,4023,0
6660,0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,4117,0
6945,0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,3571,0
3259,0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,4104,0
2855,0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,6502,0
2593,0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,3347,0
4202,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,49.25,6480,0
5499,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,808,1
5417,1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,79.75,3598,0
2043,0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.15,3624,0
5675,0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,3284,0
6619,0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,788,1
4648,0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,69.5,1274,0
5295,0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,5112,1
3256,0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,74.85,3781,0
1128,1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1273,1
6187,0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.65,5103,0
3569,1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,108.45,5554,0
2777,0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,24.95,6313,0
4208,0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,5936,0
295,0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,100.5,3984,0
832,1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,4529,0
358,1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,42.1,2557,0
374,0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,6458,0
4034,0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,6233,1
3600,0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,2085,0
6079,1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,3156,0
2376,0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,79.2,2142,0
2210,0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.15,6398,0
5252,1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.85,6289,0
1561,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,49.05,4136,0
501,0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,20.4,180,0
1271,1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,111.6,5562,0
5686,1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,784,0
3985,0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,1294,0
1834,0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,5008,0
4540,0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.65,2338,0
3961,0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,54.65,4070,0
108,1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,74.75,1741,0
2725,0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.9,396,0
4181,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,5965,1
5755,0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,4675,0
6477,0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,4198,1
6978,0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,3681,0
202,0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,20.15,6490,0
3092,1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,6363,0
3367,0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,62.15,1851,0
1257,0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,20.65,107,0
1917,0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,6381,0
2099,1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,33.75,18,0
3336,1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05,2228,0
1662,1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.7,5722,0
5127,1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,84.0,4716,0
4295,0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,111.05,5574,0
6934,1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,100.9,5750,0
6088,0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,6383,1
6897,1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,66.85,4017,0
173,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,251,1
2244,1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21.0,202,0
3199,0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2174,1
4520,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.2,1609,0
2569,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,1482,0
5054,1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95.0,3121,0
3826,0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,45.55,2629,0
2228,1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,5832,1
4376,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,24.3,0,0
4772,0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,104.15,5671,0
6852,0,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,30.15,6384,0
6056,1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3357,0
1965,1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,19.4,657,0
327,1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,4390,1
3164,0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,57.95,2641,0
4045,0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,91.65,3379,0
3410,0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2474,1
3726,0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,54.6,2966,0
2138,1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,89.85,2127,0
6721,0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,31.05,239,0
3754,0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,123,1
5950,0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.65,6159,0
6633,1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,85.2,1768,0
745,0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,99.8,4580,0
2028,0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,229,0
274,1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,1930,1
4597,0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,50.7,3038,0
5120,0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,5042,0
3213,1,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,88.95,2631,0
3071,0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,1754,1
4784,1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,23.55,1227,0
2754,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,1488,0
1806,1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45,3402,0
1986,0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,85.95,393,0
4393,0,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,911,1
6047,1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,2836,0
2154,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,3031,1
1631,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,6057,1
5528,0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,25.7,347,0
5559,0,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,75.0,1303,0
2650,0,0,1,1,64,1,0,2,1,1,1,1,1,1,2,0,3,20.2,509,0
4400,1,0,0,1,57,1,0,2,1,1,1,1,1,1,2,1,3,19.6,318,0
262,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,5509,1
2192,0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,88.05,5172,0
2856,0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,4663,1
751,0,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,101.05,4893,0
1804,1,0,0,0,64,1,2,1,2,2,0,0,0,0,1,1,1,84.3,4418,0
775,1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1277,0
4048,0,0,1,1,65,1,2,1,2,2,0,2,2,0,2,1,1,99.05,5167,0
4838,1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,19.6,4982,0
1445,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,3820,1
4561,1,0,0,1,30,1,0,0,0,2,2,0,2,0,1,0,1,64.5,1527,0
2414,1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,69.5,140,0
2656,0,0,1,1,8,1,0,0,0,0,0,2,2,2,0,1,2,68.55,4668,0
2718,1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,5235,1
1139,0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,108.15,5987,0
6397,1,0,1,1,62,1,0,0,2,2,2,2,2,2,2,0,2,86.1,4369,0
2140,0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,19.7,249,0
4633,0,0,1,1,14,1,0,1,0,0,0,0,0,2,0,1,0,80.9,289,0
6461,0,0,0,0,22,1,2,1,0,0,0,0,2,0,0,1,0,84.15,1377,0
1891,1,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,3,20.15,3582,0
4512,1,0,1,1,16,1,0,0,2,0,2,0,2,0,2,0,3,64.25,50,0
5339,1,0,0,0,10,1,2,2,1,1,1,1,1,1,2,0,0,25.7,2165,0
6342,0,0,0,1,13,1,0,0,2,2,0,0,0,0,0,1,2,56.0,5844,0
589,0,0,1,0,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1046,1
3115,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.7,638,0
3241,1,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,73.9,3382,0
2012,0,0,1,1,11,1,0,2,1,1,1,1,1,1,1,0,3,20.6,1965,0
4488,1,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,3,19.9,658,0
2353,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,2372,1
4249,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,89.05,5070,0
2400,1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2299,1
794,0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,20.4,2789,0
5426,1,0,1,0,43,1,0,1,2,0,2,2,0,0,1,1,0,84.25,3063,0
1268,0,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,2065,1
4770,1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,338,0
475,0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,4238,1
4180,0,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,20.55,5229,0
1184,0,0,1,0,34,1,2,2,1,1,1,1,1,1,0,0,2,24.7,5916,0
1816,0,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,276,1
1397,0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,4259,1
4201,0,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,105.35,1000,0
2591,1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,20.55,458,0
4466,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,2506,1
4653,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.3,3815,0
6581,1,0,0,0,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,5277,1
3917,1,0,1,1,33,1,0,0,2,0,2,0,2,2,1,0,1,74.75,2103,0
1287,0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,215,1
692,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,2043,1
3396,1,0,0,0,20,1,0,0,0,2,0,0,0,0,0,1,3,51.8,47,0
5791,1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,30.4,6098,0
